detainer_detention_facility,county,city,state,uniqueid
BLOUNT COUNTY JUV DET CENTER,Blount County,MARYVILLE,TN,d378
"BLUE EARTH CO. JAIL, MN",Blue Earth County,MANKATO,MN,d379
BLUE ISLAND P.D.,Cook County,BLUE ISLAND,IL,d380
BLUE SPRINGS POLICE DEPT.,Jackson County,BLUE SPRINGS,MO,d381
BOAZ CITY JAIL,Marshall County,BOAZ,AL,d382
BOB WILEY DET FACILITY,Tulare County,VISALIA,CA,d383
BOISE HOLD ROOM,Ada County,BOISE,ID,d384
BOLINGBROOK POLICE DEPT.,Will County,BOLINGBROOK,IL,d385
BOLIVAR COUNTY JAIL,Bolivar County,CLEVELAND,MS,d386
BONNER COUNTY DETENTION CENTER,Bonner County,SANDPOINT,ID,d387
BONNEVILLE CO. JAIL,Bonneville County,IDAHO FALLS,ID,d388
BOONE COUNTY JAIL,Boone County,ALBION,NE,d389
BOONE COUNTY JAIL,Boone County,BELVIDERE,IL,d390
BOONE COUNTY JAIL,Boone County,BURLINGTON,KY,d391
BOONE COUNTY JAIL,Boone County,COLUMBIA,MO,d392
BOONE COUNTY JAIL,Boone County,HARRISON,AR,d393
BOONE COUNTY SHERIFF/JAIL,Boone County,LEBANON,IN,d394
BOONVILLE CORR. CENTER,Cooper County,BOONVILLE,MO,d395
BOP BALTIMORE CCM,Howard County,ANNAPOLIS JUNCT,MD,d396
BOP BUTNER LOW FCI,Granville County,BUTNER,NC,d397
BOP COLEMAN MED FCI,Sumter County,COLEMAN,FL,d398
BOP DALLAS CCM,Dallas County,DALLAS,TX,d399
BOP EL PASO CCM,El Paso County,EL PASO,TX,d400
BOP HOUSTON CCM,Harris County,HOUSTON,TX,d401
BOP LONG BEACH CCM,Los Angeles County,LONG BEACH,CA,d402
BOP MID-ATLANTIC REGN OFF,Howard County,ANNAPOLIS JUNCT,MD,d403
BOP N EAST REGIONAL OFF,Philadelphia County,PHILADELPHIA,PA,d404
BOP NEW ORLEANS CCM,Orleans Parish,NEW ORLEANS,LA,d405
BOP NEW YORK CCM,Kings County,NEW YORK,NY,d406
BOP ORLANDO CCM,Orange County,ORLANDO,FL,d407
BOPUNK-UNKNOWN WHICH/FED,Unknown County,,FL,d408
BORDEN COUNTY JAIL,Scurry County,SNYDER,TX,d409
BORGER POLICE DEPT.,Hutchinson County,BORGER,TX,d410
BORON FED.PRISON CAMP,Kern County,BORON,CA,d411
BOSQUE COUNTY SHERIFF'S DEPT.,Bosque County,MERIDIAN,TX,d412
BOSSIER CITY POLICE DEPT.,Bossier Parish,BOSSIER CITY,LA,d413
BOSSIER PARISH COR. CENTER,Bossier Parish,PLAIN DEALING,LA,d414
BOST PRERELEASE DORCHESTE,Suffolk County,DORCHESTER,MA,d415
BOSTON HOLDROOM,Middlesex County,BURLINGTON,MA,d416
BOSTON POLICE DEPT,Suffolk County,BOSTON,MA,d417
"BOSTON POLICE DEPT, DISTRICT #3",Suffolk County,DORCHESTER,MA,d418
BOSTON SPC,Suffolk County,BOSTON,MA,d419
BOTETOURT CORR. CENTER,Botetourt County,TROUTVILLE,VA,d420
BOTETOURT COUNTY JAIL,Botetourt County,FINCASTLE,VA,d421
BOTTINEAU CO. ND JAIL,Bottineau County,BOTTINEAU,ND,d422
BOULDER CITY NEVADA JAIL,Clark County,BOULDER CITY,NV,d423
BOULDER COUNTY JAIL,Boulder County,BOULDER,CO,d424
BOUNDARY COUNTY,Boundary County,BONNERS FERRY,ID,d425
BOURBON CO DET CENTER,Bourbon County,PARIS,KY,d426
BOURBON COUNTY SHERIFF,Bourbon County,FT. SCOTT,KS,d427
BOWIE COUNTY JAIL,Bowie County,TEXARKANA,TX,d428
BOWLING GREEN HOLD ROOM,Warren County,BOWLING GREEN,KY,d429
BOX BUTTE CO. JAIL,Box Butte County,ALLIANCE,NE,d430
BOX ELDER CO. JAIL,Box Elder County,BRIGHAM,UT,d431
BOYLE COUNTY DETENTION CENTER,Boyle County,DANVILLE,KY,d432
"BOYS & GIRLS HOME OF NEBRASKA, INC",Lincoln County,SOUTH SOUIX CITY,NE,d433
BRADENTON DETENTION CENTER,Manatee County,BRADENTON,FL,d434
BRADFORD COUNTY JAIL,Bradford County,STARKE,FL,d435
BRADFORD COUNTY PRISON,Bradford County,TROY,PA,d436
BRADLEY COUNTY SHERIFF'S OFFICE,Bradley County,CLEVELAND,TN,d437
BRAINTREE POLICE DEPT,Norfolk County,BRAINTREE,MA,d438
"BRANCH CO, COLDWATER, MI",Branch County,COLDWATER,MI,d439
BRANCHVILLE CORRECTIONAL,Perry County,TELL CITY,IN,d440
BRANSON POLICE DEPT.,Taney County,BRANSON,MO,d441
BRANTLEY COUNTY SHERIFF,Brantley County,NAHUNTA,GA,d442
BRAZORIA COUNTY DET. CTR,Brazoria County,ANGELTON,TX,d443
BRAZORIA POLICE DEPT.,Brazoria County,BRAZORIA,TX,d444
BRAZOS COUNTY JAIL,Brazos County,BRYAN,TX,d445
BREA POLICE DEPT.,Orange County,BREA,CA,d446
BRECKSVILLE CITY JAIL,Cuyahoga County,BRECKSVILLE,OH,d447
"BREMER CO JAIL, IOWA",Bremer County,WAVERLY,IA,d448
BRENHAM POLICE DEPT.,Washington County,BRENHAM,TX,d449
BRENTWOOD POLICE DEPT.,St. Louis County,BRENTWOOD,MO,d450
BREVARD CORRECTIONAL,Brevard County,SHARPES,FL,d451
BREVARD COUNTY JAIL COMPLEX,Brevard County,COCOA,FL,d452
BREWSTER COUNTY JAIL,Brewster County,ALPINE,TX,d453
BRIDGE CITY POLICE DEPT.,Orange County,BRIDGE CITY,TX,d454
BRIDGEPORT CORR CENTER,Fairfield County,BRIDGEPORT,CT,d455
BRIDGEPORT POLICE DEPT.,Fairfield County,BRIDGEPORT,CT,d456
BRIDGETON POLICE DEPT.,St. Louis County,BRIDGETON,MO,d457
BRISTOL CITY JAIL,Bristol City,BRISTOL,VA,d458
BRISTOL CNTY NDARTMOUTH,Bristol County,NORTH DARTMOUTH,MA,d459
"BRISTOL CTY, NEW BEDFORD",Bristol County,NEW BEDFORD,MA,d460
BROADVIEW HTS CITY JAIL,Cuyahoga County,BROADVIEW HTS.,OH,d461
BROADWATER COUNTY SHERIFF,Broadwater County,TOWNSEND,MT,d462
BROCKBRIDGE COR FAC,Anne Arundel County,JESSUP,MD,d463
BRONX CENTRAL BOOKING,Bronx County,BRONX,NY,d464
BRONX HSE OF DET/BRONX NY,Bronx County,BRONX,NY,d465
BROOKFIELD POLICE DEPT.,Cook County,BROOKFIELD,IL,d466
"BROOKINGS CO , SD JAIL",Brookings County,BROOKINGS,SD,d467
BROOKLINE POLICE DEPT.,Norfolk County,BROOKLINE,MA,d468
BROOKLYN CENTRAL BOOKING,Kings County,BROOKLYN,NY,d469
BROOKLYN CORR CENTER,Windham County,BROOKLYN,CT,d470
BROOKLYN CORR.FAC.(BRIG),Kings County,BROOKLYN,NY,d471
BROOKLYN HEIGHTS POLICE DEPT.,Cuyahoga County,BROOKLYN HEIGHTS,OH,d472
BROOKLYN HOUSE OF DETENT.,Kings County,BROOKLYN,NY,d473
BROOKLYN MDC,Kings County,BROOKLYN,NY,d474
BROOKLYN PARK POLICE DEPT.,Hennepin County,BROOKLYN PARK,MN,d475
BROOKS COUNTY JAIL (CONTRACT),Brooks County,FALFURRIAS,TX,d476
"BROOKS COUNTY JAIL, (SHERIFF)",Brooks County,FALFURRIAS,TX,d477
BROOKS COUNTY SHERIFF,Brooks County,QUITMAN,GA,d478
"BROOKS REG FAC,MUSKEG,MI",Muskegon County,MUSKEGON,MI,d479
BROOKSHIRE POLICE DEPT.,Waller County,BROOKSHIRE,TX,d480
BROOME COUNTY JAIL,Broome County,BINGHAMPTON,NY,d481
BROOMFIELD DETENTION CENTER,Broomfield County,BROOMFIELD,CO,d482
BROWARD CORRECTIONAL,Broward County,PEMBROKE PINES,FL,d483
BROWARD COUNTY JAIL,Broward County,FORT LAUDERDALE,FL,d484
BROWARD GENERAL MEDICAL CENTER,Broward County,FORT LAUDERDALE,FL,d485
BROWN COUNTY JAIL,Brown County,ABERDEEN,SD,d486
BROWN COUNTY JAIL,Brown County,GEORGETOWN,OH,d487
BROWN COUNTY JAIL,Brown County,GREEN BAY,WI,d488
BROWN COUNTY JAIL,Brown County,MOUNT STERLING,IL,d489
BROWN COUNTY JAIL,Brown County,NEW ULM,MN,d490
BROWN COUNTY SHERIFF,Brown County,BROWNWOOD,TX,d491
BROWNSTOWN POLICE DEPT.,Wayne County,BROWNSTOWN,MI,d492
BROWNSVILLE POLICE DEPT.,Cameron County,BROWNSVILLE,TX,d493
BRULE COUNTY JAIL,Brule County,CHAMBERLAIN,SD,d494
BRUNSWICK COUNTY JAIL,Brunswick County,BOLIVIA,NC,d495
BRUSHY MOUNTAIN C.C.#1,Morgan County,PETROS,TN,d496
BRYAN COUNTY JAIL,Bryan County,PEMBROKE,GA,d497
BRYAN COUNTY SHERIFF/JAIL,Bryan County,DURANT,OK,d498
BRYAN FED.PRIS.CAMP,Brazos County,BRYAN,TX,d499
BRYAN POLICE DEPT,Brazos County,BRYAN,TX,d500
BSCC AIRPARK UNIT,Howard County,BIG SPRING,TX,d501
BSCC CEDAR HILL UNIT,Howard County,BIG SPRING,TX,d502
BSCC FLIGHTLINE UNIT,Howard County,BIG SPRING,TX,d503
BSCC GILES DARBY FACILITY,Garza County,POST,TX,d504
BSCC INTERSTATE UNIT,Howard County,BIG SPRING,TX,d505
BUCHANAN COUNTY JAIL,Buchanan County,ST. JOSEPH,MO,d506
BUCKLEY CITY JAIL,Pierce County,BUCKLEY,WA,d507
"BUCKS CNTY JAIL, PA",Bucks County,DOYLESTOWN,PA,d508
BUENA PARK POLICE DEPT.,Orange County,BUENA PARK,CA,d509
BUENA VISTA CO JAIL,Buena Vista County,STORM LAKE,IA,d510
BUENA VISTA CORRECTIONAL,Saginaw County,SAGINAW,MI,d511
"BUFFALO CF, ALDEN,NY",Erie County,ALDEN,NY,d512
BUFFALO CITY JAIL,Erie County,BUFFALO,NY,d513
BUFFALO COUNTY JAIL,Buffalo County,ALMA,WI,d514
BUFFALO COUNTY JAIL,Buffalo County,KEARNEY,NE,d515
BUFFALO HOLD ROOM,Erie County,BUFFALO,NY,d516
BUFFALO SPC,Genesee County,BATAVIA,NY,d517
BULLOCH COUNTY JAIL,Bulloch County,STATESBORO,GA,d518
BULLOCK COUNTY JAIL,Bulloch County,STATESBORO,GA,d519
BULLOCK COUNTY JAIL,Bullock County,UNION SPRINGS,AL,d520
BUNCOMBE COUNTY DR.,Buncombe County,ASHEVILLE,NC,d521
BURBANK POLICE DEPT.,Santa Clara County,BURBANK,CA,d522
BUREAU COUNTY JAIL,Bureau County,PRINCETON,IL,d523
BURKE COUNTY JAIL,Burke County,MORGANTON,NC,d524
BURKE COUNTY SHERIFF,Burke County,WAYNESBORO,GA,d525
"BURLEIGH CO. JAIL, ND",Burleigh County,BISMARCK,ND,d526
BURLESON COUNTY JAIL,Burleson County,CALDWELL,TX,d527
BURLESON POLICE DEPT.,Johnson County,BURLESON,TX,d528
BURLINGTON COUNTY JAIL,Burlington County,MT. HOLLY,NJ,d529
BURNET COUNTY JAIL,Burnet County,BURNET,TX,d530
BURR RIDGE POLICE DEPT.,DuPage County,BURR RIDGE,IL,d531
"BUTLER CO JAIL, IOWA",Butler County,ALLISON,IA,d532
BUTLER CORRECTIONAL,Wayne County,RED CREEK,NY,d533
BUTLER COUNTY JAIL,Butler County,DAVID CITY,NE,d534
BUTLER COUNTY JAIL,Butler County,EL DORADO,KS,d535
BUTLER COUNTY JAIL,Butler County,GREENVILLE,AL,d536
BUTLER COUNTY JAIL,Butler County,HAMILTON,OH,d537
BUTLER COUNTY JAIL,Butler County,MORGANTOWN,KY,d538
"BUTLER COUNTY JAIL, PA",Butler County,BUTLER,PA,d539
BUTNER FED.CORR.INST.,Granville County,BUTNER,NC,d540
BUTTE COUNTY JAIL,Butte County,ARCO,ID,d541
BUTTE COUNTY JAIL,Butte County,OROVILLE,CA,d542
BUTTE-SILVER BOW COUNTY JAIL,Silver Bow County,BUTTE,MT,d543
BUTTS COUNTY JAIL,Butts County,JACKSON,GA,d544
BWATER ST HOSP BRIDGEWATE,Plymouth County,BRIDGEWATER,MA,d545
CA YOUTH AUTHORITY/NRC,Sacramento County,SACRAMENTO,CA,d546
CABOT POLICE DEPT/JAIL,Lonoke County,CABOT,AR,d547
CACHE CO. JAIL,Cache County,LOGAN,UT,d548
CADDO COUNTY JAIL,Caddo County,ANADARKO,OK,d549
CADDO PARISH COR. CENTER,Caddo Parish,SHREVEPORT,LA,d550
CALAVERA COUNTY JAIL,Calaveras County,SAN ANDREAS,CA,d551
CALCASIEU PARISH PRISON,Calcasieu Parish,LAKE CHARLES,LA,d552
CALDWELL COUNTY JAIL,Caldwell County,KINGSTON,MO,d553
CALDWELL COUNTY JAIL,Caldwell County,LENOIR,NC,d554
CALDWELL COUNTY JAIL,Caldwell County,LOCKHART,TX,d555
CALDWELL COUNTY JAIL,Caldwell County,PRINCETON,KY,d556
CALDWELL PAR DET CENTER,Caldwell Parish,CLARKS,LA,d557
CALDWELL POLICE DEPT.,Burleson County,CALDWELL,TX,d558
"CALHOUN CO., BATTLE CR,MI",Calhoun County,BATTLE CREEK,MI,d559
CALHOUN CORRECTIONAL INSTITUTION,Calhoun County,BLOUNTSTOWN,FL,d560
CALHOUN COUNTY CONSTABLE PCT 2,Calhoun County,PORT LAVACA,TX,d561
CALHOUN COUNTY JAIL,Calhoun County,BLOUNTSTOWN,FL,d562
CALHOUN COUNTY JAIL,Calhoun County,HAMPTON,AR,d563
CALHOUN COUNTY JAIL,Calhoun County,PITTSBORO,MS,d564
CALHOUN COUNTY JAIL,Calhoun County,PORT LAVACA,TX,d565
CALHOUN COUNTY SHERIFF,Calhoun County,ANNISTON,AL,d566
CALHOUN COUNTY SHERIFF,Calhoun County,MORGAN,GA,d567
CALIF. INST. FOR MEN/EAST,San Bernardino County,CHINO,CA,d568
CALIF. INST. FOR MEN/WEST,San Bernardino County,CHINO,CA,d569
CALIF. INST. FOR WOMEN,Riverside County,CORONA,CA,d570
"CALIF. MEN COLONY, EAST",San Luis Obispo County,SAN LUIS OBISPO,CA,d571
"CALIF. MEN COLONY, WEST",San Luis Obispo County,SAN LUIS OBISPO,CA,d572
CALIF. REHAB. CTR./MEN,Riverside County,NORCO,CA,d573
CALIF. REHAB. CTR./WOMEN,Riverside County,NORCO,CA,d574
CALIF. YOUTH AUTHORITY,San Joaquin County,STOCKTON,CA,d575
CALIF.INST.RECEPTION CTR.,San Bernardino County,CHINO,CA,d576
CALIFORNIA CITY CORECTIONS CENTER,Kern County,CALIFORNIA CITY,CA,d577
CALIFORNIA STATE PRISON,Kings County,CORCORAN,CA,d578
CALIPATRIA STATE PRISON,Imperial County,CALIPATRIA,CA,d579
CALLAHAN COUNTY SHERIFF,Callahan County,BAIRD,TX,d580
CALLAWAY COUNTY JAIL,Callaway County,FULTON,MO,d581
CALLOWAY COUNTY JAIL,Calloway County,MURRAY,KY,d582
CALUMET CITY P.D.,Cook County,CALUMET CITY,IL,d583
CALUMET COUNTY SHERIFF,Calumet County,CHILTON,WI,d584
CALVERT COUNTY SHERIFF,Calvert County,PRINCE FREDERICK,MD,d585
CAMAS COUNTY JAIL,Camas County,FAIRFIELD,ID,d586
"CAMBRIA COUNTY JAIL, PA",Cambria County,EBENSBURG,PA,d587
CAMBRIDGE POLICE DEPT,Middlesex County,CAMBRIDGE,MA,d588
CAMDEN COUNTY JAIL,Camden County,CAMDEN,NJ,d589
CAMDEN COUNTY JAIL,Camden County,WOODBINE,GA,d590
CAMDEN COUNTY SHERIFF,Camden County,CAMDENTON,MO,d591
CAMELLIA GARDEN MANOR,Rapides Parish,PINEVILLE,LA,d592
CAMERON COUNTY JAIL,Cameron County,OLMITO,TX,d593
CAMERON PARISH JAIL,Cameron Parish,CAMERON,LA,d594
CAMERON POLICE DEPT.,Milam County,CAMERON,TX,d595
CAMP COUNTY JAIL,Camp County,PITTSBURG,TX,d596
CAMP DODGE,Polk County,JOHNSTON,IA,d597
"CAMP OJBIWAY,MARENISCO,MI",Gogebic County,MARENISCO,MI,d598
CAMPBELL COUNTY JAIL,Campbell County,GILLETTE,WY,d599
CAMPBELL COUNTY JAIL,Campbell County,JACKSBORO,TN,d600
"CAMPHILL SCI, PA",Cumberland County,CAMP HILL,PA,d601
"CANADIAN COUNTY, EL RENO,",Canadian County,EL RENO,OK,d602
CANDLER COUNTY SHERIFF,Candler County,METTER,GA,d603
CANNON COUNTY SHERIFF,Cannon County,WOODBURY,TN,d604
CANTON TOWNSHIP POLICE DEPT.,Wayne County,CANTON,MI,d605
CANYON COUNTY JAIL,Canyon County,CALDWELL,ID,d606
CAPE GIRARDEAU COUNTY JAIL,Cape Girardeau County,JACKSON,MO,d607
CAPE GIRARDEAU POLICE DEPT.,Cape Girardeau County,CAPE GIRARDEAU,MO,d608
CAPE MAY COUNTY JAIL,Cape May County,CAPE MAY,NJ,d609
CAPE VINCENT CORRECTIONAL,Jefferson County,CAPE VINCENT,NY,d610
CARBON COUNTY CORRECTIONL,Carbon County,NESQUEHONING,PA,d611
CARBON COUNTY JAIL,Carbon County,RAWLINS,WY,d612
CARBONDALE POLICE DEPT.,Jackson County,CARBONDALE,IL,d613
CARIBOU COUNTY JAIL,Caribou County,SODA SPRINGS,ID,d614
CARL JUNCTION POLICE DEPT.,Jasper County,CARL JUNCTION,MO,d615
"CARLTON COUNTY JAIL, MN",Carlton County,CARLTON,MN,d616
CAROL STREAM POLICE DEPT.,DuPage County,CAROL STREAM,IL,d617
CAROLINE COUNTY DET CENTER,Caroline County,DENTON,MD,d618
CARPENTERSVILLE POLICE DEPT.,Kane County,CARPENTERSVILLE,IL,d619
CARROL COUNTY JAIL,Carroll County,CARROLL,IA,d620
CARROLL CO SHERIFF'S OFFICE,Carroll County,BERRYVILLE,AR,d621
CARROLL COUNTY DET CTR,Carroll County,CARROLLTON,KY,d622
CARROLL COUNTY DETENTION CENTER,Carroll County,WESTMINISTER,MD,d623
CARROLL COUNTY JAIL,Carroll County,CARROLLTON,GA,d624
CARROLL COUNTY JAIL,Carroll County,CARROLLTON,MO,d625
CARROLL COUNTY JAIL,Carroll County,CARROLLTON,OH,d626
CARROLL COUNTY JAIL,Carroll County,HUNTINGDON,TN,d627
CARROLL COUNTY JAIL,Carroll County,MT. CARROLL,IL,d628
CARROLLTON POLICE DEPT.,Denton County,CARROLLTON,TX,d629
CARSON CITY CORRECTIONAL FACILITY,Montcalm County,CARSON CITY,MI,d630
CARSON CITY JAIL,Carson City,CARSON CITY,NV,d631
"CARSON CITY, CARSON, MI",Sanilac County,CARSONVILLE,MI,d632
CARSON COUNTY SHERIFF,Carson County,PANHANDLE,TX,d633
"CARSON CTY TEM FAC,CARSON",Montcalm County,CARSON CITY,MI,d634
CARSWELL FED.MED.CTR,Tarrant County,FORT WORTH,TX,d635
CARTER COUNTY JAIL,Carter County,ELIZABETHTOWN,TN,d636
"CARTER COUNTY, ARDMORE OK",Carter County,ARDMORE,OK,d637
CARTERET COUNTY JAIL,Carteret County,BEAUFORT,NC,d638
CARTHAGE POLICE DEPT.,Jasper County,CARTHAGE,MO,d639
CARVER CO. JUVY DETENTION,Carver County,CHASKA,MN,d640
CARVER COUNTY JAIL,Carver County,CHASKA,MN,d641
CASA GRANDE REG. MED. CENTER,Pinal County,CASA GRANDE,AZ,d642
CASA SAN JUAN,San Diego County,SAN DIEGO,CA,d643
"CASCADE COUNTY JAIL, MT",Cascade County,GREAT FALLS,MT,d644
"CASS CO, IA, CORR FACILIT",Cass County,ATLANTIC,IA,d645
"CASS CO., CASSOPOLIS,MI",Cass County,CASSOPOLIS,MI,d646
CASS COUNTY JAIL,Cass County,FARGO,ND,d647
CASS COUNTY JAIL,Cass County,HARRISONVILLE,MO,d648
CASS COUNTY JAIL,Cass County,LINDEN,TX,d649
CASS COUNTY JAIL,Cass County,PLATTSMOUTH,NE,d650
CASS COUNTY SHERIFF,Cass County,LOGANSPORT,IN,d651
CASSIA COUNTY SHERIFF/JAIL,Cassia County,BURLEY,ID,d652
CASTRO COUNTY SHERIFF,Castro County,DIMMIT,TX,d653
CASWELL COUNTY SHERIFF,Caswell County,YANCYVILLE,NC,d654
CATAHOULA CORRECTIONAL CENTER,Catahoula Parish,HARRISONBURG,LA,d655
CATALINA MOUNTAIN SCHOOL,Pima County,TUCSON,AZ,d656
CATAWBA COUNTY JAIL,Catawba County,NEWTON,NC,d657
CATHOLIC CHARITIES (HOU),Harris County,HOUSTON,TX,d658
"CATHOLIC CHARITIES, CHI",Cook County,CHICAGO,IL,d659
CATOOSA COUNTY JAIL,Catoosa County,RINGGOLD,GA,d660
CATTARAUGUS COUNTY JAIL,Cattaraugus County,LITTLE VALLEY,NY,d661
CAYUGA CORRECTIONAL,Cayuga County,MORAVIA,NY,d662
CAYUGA COUNTY JAIL,Cayuga County,AUBURN,NY,d663
CC FORT WORTH SHELTER,Tarrant County,FORT WORTH,TX,d664
CCA CENT.AZ.DET.CTR.,Pinal County,FLORENCE,AZ,d665
CCA DAVIS CORR FACILITY,Hughes County,HOLDENVILLE,OK,d666
CCA NORTHEAST OH CORRECTS,Mahoning County,YOUNGSTOWN,OH,d667
"CCA, FLORENCE CORRECTIONAL CENTER",Pinal County,FLORENCE,AZ,d668
CCC/SUSANVILLE,Lassen County,SUSANVILLE,CA,d669
CCF-DELANO,Kern County,DELANO,CA,d670
CCF-FOLSOM,Sacramento County,FOLSOM,CA,d671
CCF-LASSEN,Lassen County,SUSANVILLE,CA,d672
CCF-SHAFTER,Kern County,SHAFTER,CA,d673
CCF/LEO CHEANEY,Santa Cruz County,LIVE OAK,CA,d674
CCI-TEHACHAPI,Kern County,TEHACHAPI,CA,d675
CCM PHOENIX-COMMUNITY CORRECTIONS,Maricopa County,PHOENIX,AZ,d676
CCM SAN ANTONIO-COMM. CORRECTIONS,Bexar County,SAN ANTONIO,TX,d677
CDC CALIPATRIA IHP,Imperial County,CALIPATRIA,CA,d678
CDC CENTINELA IHP,Imperial County,IMPERIAL,CA,d679
CECIL COUNTY DETENTION,Cecil County,ELKTON,MD,d680
CEDAR COUNTY JAIL,Cedar County,HARTINGTON,NE,d681
CEDAR COUNTY JAIL,Cedar County,STOCKTON,MO,d682
CEDAR COUNTY JAIL,Cedar County,TIPTON,IA,d683
CEDAR CREEK CORRECTIONS,Thurston County,LITTLE ROCK,WA,d684
CEDAR HILL POLICE DEPT.,Dallas County,CEDAR HILL,TX,d685
CEDAR RAPIDS HOLD ROOM,Linn County,CEDAR RAPIDS,IA,d686
"CEN. FL REC. CTR.,ORLANDO",Orange County,ORLANDO,FL,d687
CENTER POLICE DEPT.,Saguache County,CENTER,CO,d688
CENTER POLICE DEPT.,Shelby County,CENTER,TX,d689
CENTINELA STATE PRISON,Imperial County,IMPERIAL,CA,d690
CENTRAL CA WOMEN'S FACILI,Madera County,CHOWCHILLA,CA,d691
CENTRAL MICHIGAN CORR. FACILITY,Gratiot County,ST. LOUIS,MI,d692
CENTRAL MISS.CORR.FAC.,Rankin County,PEARL,MS,d693
CENTRAL MO CORR. CENTER,Cole County,JEFFERSON CITY,MO,d694
CENTRAL N.M.C.F.LOS LUNAS,Valencia County,LOS LUNAS,NM,d695
CENTRAL NM CF MINIMUN UNIT,Valencia County,LOS LUNAS,NM,d696
CENTRAL NY PSYCHIATRIC CENTERL,Oneida County,MARCY,NY,d697
CENTRAL OK CORR. FACILITY,Pottawatomie County,MCCLOUD,OK,d698
CENTRAL RECEPTION & ASSIGNMENT,Mercer County,TRENTON,NJ,d699
CENTRAL REGIONAL JAIL,Braxton County,SUTTON,WV,d700
CENTRAL VA REGIONAL JAIL,Orange County,ORANGE,VA,d701
CENTRALIA CORRECTIONS CTR,Marion County,CENTRALIA,IL,d702
CENTRALIA POLICE DEPT.,Marion County,CENTRALIA,IL,d703
CENTRE CO JAIL,Centre County,BELLEFONTE,PA,d704
CENTURY CORRECTIONAL INSTITUTION,Escambia County,CENTURY,FL,d705
CERRO GORDO COUNTY,Cerro Gordo County,MASON CITY,IA,d706
CHAFFEE COUNTY JAIL,Chaffee County,SALIDA,CO,d707
CHAMBERS COUNTY JAIL,Chambers County,LAFAYETTE,AL,d708
CHAMBERS COUNTY SHERIFF,Chambers County,ANAHUAC,TX,d709
CHAMBLEE POLICE DEPT,DeKalb County,CHAMBLEE,GA,d710
CHAMPAIGN COUNTY JAIL,Champaign County,URBANA,OH,d711
CHAMPAIGN COUNTY JAIL,Champaign County,URNANA,IL,d712
CHARLES COUNTY DET CNTR,Charles County,LA PLATA,MD,d713
"CHARLES EGLER FAC,JACKSON",Jackson County,JACKSON,MI,d714
"CHARLES MIX CO. JAIL, SD",Charles Mix County,LAKE ANDES,SD,d715
CHARLESTON CORRECTIONAL F,Penobscot County,CHARLESTON,ME,d716
CHARLESTON COUNTY CORRECT,Charleston County,NORTH CHARLESTO,SC,d717
"CHARLEVOIX CO, CHARLEV,MI",Charlevoix County,CHARLEVOIX,MI,d718
CHARLOTTE AMALIE HOLDROOM,Saint Thomas County,ST THOMAS,VI,d719
"CHARLOTTE CI, PUNTA GORDA",Charlotte County,PUNTA GORDA,FL,d720
CHARLOTTE CO. SHERIFF,Charlotte County,CHARLOTTE COURT,VA,d721
CHARLOTTE COUNTY JAIL,Charlotte County,CHARLOTTE C.H.,VA,d722
CHARLOTTE COUNTY JAIL,Charlotte County,PUNTA GORDA,FL,d723
CHARLOTTE HOLD ROOM,Mecklenburg County,CHARLOTTE,NC,d724
CHARLTON COUNTY SHERIFF,Charlton County,FOLKSTON,GA,d725
CHASE COUNTY JAIL,Chase County,COTTONWOOD FALL,KS,d726
CHASE COUNTY JAIL,Chase County,IMPERIAL,NE,d727
CHATEAUGAY ASATC,Franklin County,CHATEAUGAY,NY,d728
CHATHAM CO JAIL,Chatham County,SAVANNAH,GA,d729
CHATHAM COUNTY JAIL,Chatham County,PITTSBORO,NC,d730
CHATHAM COUNTY JAIL,Chatham County,SAVANNAH,GA,d731
CHATOOGA COUNTY SHERIFF,Chattooga County,SUMMERVILLE,GA,d732
CHATTAHOOCHEE COUNTY SHERIFF,Chattahoochee County,CUSSETA,GA,d733
CHATTANOOGA HOLD ROOM,Hamilton County,CHATTANOOGA,TN,d734
CHAUTAUQUA COUNTY JAIL,Chautauqua County,MAYVILLE,NY,d735
CHAVES COUNTY JUVENILE CENTER,Chaves County,ROSWELL,NM,d736
CHAVEZ DET CRT,Chaves County,ROSWELL,NM,d737
CHEATHAM COUNTY SHERIFF,Cheatham County,ASHLAND CITY,TN,d738
CHELAN CITY JAIL,Chelan County,LAKE CHELAN,WA,d739
CHELAN CO. REGIONAL JAIL,Chelan County,WENATCHEE,WA,d740
CHEMUNG COUNTY JAIL,Chemung County,ELMIRA,NY,d741
CHENANGO COUNTY JAIL,Chenango County,NORWICH,NY,d742
CHEROKEE CO JAIL GA,Cherokee County,CANTON,GA,d743
CHEROKEE COUNTY DET CENTER,Cherokee County,GAFFNEY,SC,d744
CHEROKEE COUNTY JAIL,Cherokee County,CENTRE,AL,d745
CHEROKEE COUNTY JAIL,Cherokee County,COLUMBUS,KS,d746
CHEROKEE COUNTY JAIL,Cherokee County,MURPHY,NC,d747
CHEROKEE COUNTY JAIL,Cherokee County,RUSK,TX,d748
CHEROKEE COUNTY JAIL,Cherokee County,TAHLEQUAH,OK,d749
CHEROKEE COUNTY SHERIFF'S OFFICE,Cherokee County,CHEROKEE,IA,d750
CHERRY COUNTY SHERIFF,Cherry County,VALENTINE,NE,d751
CHESAPEAKE CITY JAIL,Chesapeake City,CHESAPEAKE,VA,d752
