detainer_detention_facility,county,city,state,uniqueid
SEASIDE CITY JAIL,Clatsop County,SEASIDE,OR,d3613
SEATAC FED.DET.CENTER,King County,SEATAC,WA,d3614
SEATTLE CONTRACT DET.FAC.,King County,SEATTLE,WA,d3615
SEATTLE FIELD OFFICE HOLD ROOM,King County,SEATTLE,WA,d3616
SEBASTIAN COUNTY DET CNT,Sebastian County,FORT SMITH,AR,d3617
SEBASTIAN COUNTY JUVENILE,Sebastian County,FORT SMITH,AR,d3618
SEDGWICH COUNTY JAIL,Sedgwick County,JULESBURG,CO,d3619
SEDGWICK COUNTY JAIL,Sedgwick County,WICHITA,KS,d3620
SEDGWICK COUNTY JUV DETEN,Sedgwick County,WICHITA,KS,d3621
SEMINOLE COUNTY JAIL,Seminole County,SANFORD,FL,d3622
SEMINOLE COUNTY JAIL,Seminole County,WEWOKA,OK,d3623
SEMINOLE COUNTY SHERIFF,Seminole County,DONALSONVILLE,GA,d3624
SENECA COUNTY JAIL,Seneca County,ROMULUS,NY,d3625
SENECA COUNTY JAIL,Seneca County,TIFFIN,OH,d3626
SENECA COUNTY JAIL,Seneca County,WATERLOO,NY,d3627
SEQUATCHIE COUNTY JAIL,Sequatchie County,DUNLAP,TN,d3628
SEQUOYAH COUNTY SHERIFF/JAIL,Sequoyah County,SALLISAW,OK,d3629
SEVIER COUNTY JAIL,Sevier County,DE QUEEN,AR,d3630
SEVIER COUNTY JAIL,Sevier County,RICHFIELD,UT,d3631
SEVIER COUNTY JAIL,Sevier County,SEVIERVILLE,TN,d3632
"SEWARD COR CTR, SEWARD AK",Kenai Peninsula Borough,SEWARD,AK,d3633
SEWARD COUNTY JAIL,Seward County,LIBERAL,KS,d3634
SEWARD COUNTY JAIL,Seward County,SEWARD,NE,d3635
SFR HOLD ROOM,San Francisco County,SAN FRANCISCO,CA,d3636
SHACKELFORD COUNTY SHERIFF,Shackelford County,ALBANY,TX,d3637
SHARP COUNTY JAIL,Sharp County,ASH FLAT,AR,d3638
SHASTA COUNTY JAIL,Shasta County,REDDING,CA,d3639
SHAWANGUNK C.F. WALLKILL,Ulster County,WALLKILL,NY,d3640
